Time (s),Shaft Speed (degrees/s)
6.156348943710327,2.0
6.209146738052368,1.0
6.262195348739624,0.0
6.3148956298828125,0.0
6.367477893829346,0.0
6.419936895370483,1.0
6.472689151763916,0.0
6.52511739730835,1.0
6.578988552093506,-2.0
6.633192777633667,-3.0
6.686836004257202,-2.0
6.739537239074707,0.0
6.7922468185424805,-2.0
6.846786975860596,-2.0
6.898925065994263,-1.0
6.9506285190582275,-1.0
7.002629280090332,-5.0
7.05411958694458,-5.0
7.106074810028076,-2.0
7.158557891845703,-2.0
7.210193634033203,-3.0
7.265064477920532,-3.0
7.319356203079224,-2.0
7.372636556625366,-2.0
7.424316644668579,-3.0
7.476113796234131,-2.0
7.5292463302612305,-1.0
7.579235076904297,0.0
7.630615949630737,-3.0
7.682400703430176,-3.0
7.734374761581421,-1.0
7.787219285964966,-2.0
7.840590000152588,-3.0
7.893378257751465,-3.0
7.946957588195801,-3.0
8.001030683517456,-2.0
8.053848505020142,-2.0
8.10723614692688,-2.0
8.158991575241089,-3.0
8.213773488998413,-3.0
8.267717599868774,-4.0
8.320295572280884,-27.0
8.37194538116455,-19.0
8.425318479537964,-15.0
8.478088855743408,-16.0
8.53123688697815,-11.0
8.584400177001953,-2.0
8.637616157531738,-1.0
8.690785646438599,-13.0
8.742546796798706,-8.0
8.797112464904785,-6.0
8.850523948669434,-12.0
8.903614282608032,-9.0
8.95544695854187,-10.0
9.008757591247559,-3.0
9.060364246368408,-2.0
9.112547874450684,-5.0
9.166388034820557,-2.0
9.219377517700195,0.0
9.272095680236816,-1.0
9.325493574142456,-1.0
9.37709903717041,-2.0
9.429593563079834,0.0
9.483573913574219,0.0
9.537172555923462,0.0
9.58992862701416,1.0
9.642675638198853,0.0
9.694736003875732,0.0
9.747931957244873,0.0
9.801328182220459,0.0
9.854220628738403,0.0
9.907532691955566,0.0
9.961381673812866,7.0
10.014389753341675,6.0
10.06615161895752,1.0
10.119252681732178,1.0
10.171884536743164,2.0
10.224944591522217,8.0
10.277352094650269,5.0
10.332140922546387,4.0
10.385850191116333,6.0
10.43859076499939,2.0
10.490165948867798,0.0
10.542872190475464,0.0
10.596166849136353,0.0
10.649154663085938,-1.0
10.702602863311768,-3.0
10.755402565002441,-1.0
10.808159351348877,-1.0
10.86159610748291,-4.0
10.914836645126343,-3.0
10.968218326568604,-3.0
11.021239757537842,-1.0
11.074341535568237,-3.0
11.126968383789062,-2.0
11.179816246032715,-1.0
11.234569311141968,0.0
11.286486864089966,-1.0
11.340128898620605,-1.0
11.392833709716797,-2.0
11.445127725601196,-1.0
11.49802565574646,-1.0
11.551456212997437,0.0
11.604233026504517,0.0
11.656916379928589,1.0
11.709488153457642,1.0
11.763042688369751,0.0
11.815932035446167,0.0
11.869476318359375,1.0
11.92230749130249,1.0
11.974372148513794,1.0
12.025939226150513,0.0
12.077970027923584,0.0
12.132402896881104,1.0
12.184772729873657,2.0
12.237322092056274,1.0
12.288952112197876,1.0
12.341195821762085,2.0
12.39410138130188,2.0
12.4463050365448,3.0
12.500211477279663,3.0
12.552862167358398,4.0
12.60476040840149,4.0
12.658054828643799,2.0
12.710783004760742,3.0
12.764215230941772,1.0
12.817826271057129,1.0
12.870771884918213,2.0
12.922557353973389,2.0
12.974547624588013,1.0
13.027647018432617,2.0
13.082522630691528,3.0
13.130976438522339,1.0
13.184180498123169,2.0
13.237492561340332,5.0
13.2893648147583,4.0
13.342103481292725,2.0
13.393421649932861,6.0
13.445146799087524,5.0
13.499454259872437,2.0
13.553460359573364,2.0
13.607004880905151,6.0
13.659587144851685,7.0
13.712222814559937,4.0
13.76531434059143,3.0
13.818511486053467,4.0
13.871484756469727,7.0
13.924789667129517,4.0
13.97663164138794,4.0
14.030080080032349,7.0
14.083381414413452,7.0
14.136338710784912,3.0
14.189133882522583,2.0
14.24169659614563,1.0
14.293311357498169,6.0
14.349312543869019,2.0
14.403461456298828,1.0
14.456843614578247,0.0
14.508580923080444,-1.0
14.561957120895386,0.0
14.615372657775879,-1.0
14.668536186218262,0.0
14.721232175827026,-1.0
14.773468971252441,-1.0
14.824726581573486,-1.0
14.875852346420288,0.0
14.927084684371948,0.0
14.979006290435791,0.0
15.032725095748901,0.0
15.08560824394226,0.0
15.138459205627441,0.0
15.190444946289062,0.0
15.243031740188599,0.0
15.29781985282898,1.0
15.351016998291016,4.0
15.403057098388672,2.0
15.454535484313965,1.0
15.506773471832275,2.0
15.558501720428467,1.0
15.611294269561768,0.0
15.666158199310303,0.0
15.72028398513794,0.0
15.773722171783447,0.0
15.826482057571411,0.0
15.881253242492676,2.0
15.935508728027344,2.0
15.988533020019531,3.0
16.041590929031372,2.0
16.094386100769043,1.0
16.149346590042114,1.0
16.203880548477173,0.0
16.257230520248413,0.0
16.309856176376343,-1.0
16.363622426986694,-1.0
16.415305852890015,0.0
16.46856999397278,0.0
16.52039384841919,0.0
16.57380437850952,0.0
16.626470804214478,0.0
16.679068088531494,0.0
16.732261180877686,-2.0
16.78561544418335,-1.0
16.838809967041016,-2.0
16.89061951637268,-3.0
16.94344711303711,-1.0
16.99975085258484,-1.0
17.053913116455078,0.0
17.107210159301758,-3.0
17.160085201263428,-2.0
17.214763164520264,-3.0
17.270400762557983,-6.0
17.32316827774048,-5.0
