Time (s),Current (A),Shaft Speed (rpm),Shaft Angle (deg),Position (deg)
2.4469735622406006,2.190000057220459,209.0,25983.400390625,26027.12803483333
2.450390577316284,2.609999895095825,209.0,25984.12890625,26027.12803483333
2.453826665878296,2.869999885559082,209.0,25984.94921875,26029.138417724123
2.4582738876342773,2.059999942779541,209.0,25985.869140625,26029.138417724123
2.4618475437164307,2.25,209.0,25986.638671875,26029.138417724123
2.465365171432495,2.259999990463257,209.0,25987.439453125,26029.138417724123
2.4690041542053223,2.5199999809265137,209.0,25988.228515625,26029.138417724123
2.4725942611694336,2.3399999141693115,208.0,25989.0,26031.026515343638
2.4771759510040283,1.9499999284744263,209.0,25990.029296875,26031.026515343638
2.4806950092315674,2.3999998569488525,209.0,25990.7890625,26031.026515343638
2.484201669692993,2.3399999141693115,209.0,25991.58984375,26031.026515343638
2.487823486328125,2.700000047683716,209.0,25992.369140625,26031.026515343638
2.4912948608398438,2.509999990463257,209.0,25993.16015625,26032.713621843093
2.4958720207214355,2.309999942779541,209.0,25994.150390625,26032.713621843093
2.4994394779205322,2.369999885559082,209.0,25994.91015625,26032.713621843093
2.5030055046081543,2.369999885559082,209.0,25995.708984375,26032.713621843093
2.506606340408325,2.299999952316284,208.0,25996.439453125,26032.713621843093
2.5101470947265625,2.0899999141693115,208.0,25997.228515625,26034.21280169462
2.514688730239868,2.2799999713897705,209.0,25998.169921875,26034.21280169462
2.518218994140625,2.2799999713897705,209.0,25998.919921875,26034.21280169462
2.5218522548675537,2.7300000190734863,209.0,25999.66015625,26034.21280169462
2.5254909992218018,2.0999999046325684,209.0,26000.439453125,26034.21280169462
2.5291271209716797,1.5799999237060547,209.0,26001.169921875,26035.512871788156
2.5337679386138916,2.5,209.0,26002.138671875,26035.512871788156
2.537322759628296,2.559999942779541,208.0,26002.83984375,26035.512871788156
2.5409538745880127,1.5399999618530273,208.0,26003.55859375,26035.512871788156
2.544558525085449,1.3799999952316284,208.0,26004.240234375,26035.512871788156
2.548156261444092,1.6399999856948853,209.0,26004.96875,26036.601331904752
2.5527617931365967,2.3499999046325684,208.0,26005.91015625,26036.601331904752
2.556222915649414,2.009999990463257,208.0,26006.609375,26036.601331904752
2.5597901344299316,1.8399999141693115,209.0,26007.2890625,26036.601331904752
2.5632483959198,1.459999918937683,209.0,26007.978515625,26036.601331904752
2.566779613494873,1.8899999856948853,209.0,26008.689453125,26037.454791025026
2.571300506591797,2.690000057220459,209.0,26009.609375,26037.454791025026
2.5748770236968994,2.109999895095825,208.0,26010.3203125,26037.454791025026
2.5782926082611084,1.8799999952316284,208.0,26011.01953125,26037.454791025026
